"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B012871","Maynards Orig W/Gums Disp 24x60G NEW",-1,-258,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B012872","Maynards Jelly Jerseys 24x60G NEW",-1,-258,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B012873","Maynards Soft Fruity Gums 24x60g NEW",-1,-258,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B1957","Jungle Energy Bar Berries 30's",-1,-292,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B2341","Jungle Energy Bar Milk Chocolate 30's",-1,-292,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B3386","Maynards Fruit Pastilles 24x60g",-1,-258,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","B8531","Wilson XXX Lozengers Musk 48x31.2g",-1,-187,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","C3408","Cadbury PS Caramilk Large 40x48g",-1,-453,42
"ALL Other","Sweets",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","C607316","Halls Cherry 18",-1,-169,42
"ALL Other","Diplomat",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","C607336","Halls Extra Strong 18",-1,-169,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","FR070","Fruitella Strawberry 24's",-1,-197,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","FR071","Fruitella Grape/Lemon 24's",-1,-197,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","FR072","Fruitella Banana/Straw 24's",-1,-197,42
"ALL Other","SG - Mars",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MAR201","Twix Bars 25x50g",-1,-329,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN001","Mentos Rolls Spearmint 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN003","Mentos Rolls S/berry 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN004","Mentos Rolls Fruit 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN005","Mentos Rolls Grape 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN007","Mentos Rolls Rainbow 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN009","Mentos Discovery Roll 40",-1,-313,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN080","Mentos Incr Chew Stick Straw 10pc 12X47G",-1,-120,42
"ALL Other","Clippa",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","MEN081","Mentos Incr Chew Stick Pas/Fruit 10pc 12X47G",-1,-120,42
"ALL Other","Biltong",30/01/2026,"CRN23869","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","ZT209","Taki S/P Chop Stix Chilli Bag 20X60G",-1,-546,42
"ALL Other","Energy Drinks",30/01/2026,"IN-431714","S80","THOMAS MAKHUBELA","","","","","","","","","079 868 4922","SWI001","Switch Original 24x500ml",1,184.35,30
"ALL Other","Energy Drinks",30/01/2026,"IN-431714","S80","THOMAS MAKHUBELA","","","","","","","","","079 868 4922","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",1,184.35,30
"ALL Other","Snack a Juice",30/01/2026,"IN-431715","P3851","BESMO GARAGE CC (EFT)","P.O.BOX 4624","TZANEEN","","","109 ANTIMOON STREET","GRAVELOTTE","","","015 318 4462","SJ206","Snack a Juice Litchi S/C 42% 24x500ml",1,354.24,43
"ALL Other","Snack a Juice",30/01/2026,"IN-431715","P3851","BESMO GARAGE CC (EFT)","P.O.BOX 4624","TZANEEN","","","109 ANTIMOON STREET","GRAVELOTTE","","","015 318 4462","SJ208","Snack a Juice Cranb S/C 100% 24x500ml",1,354.24,43
"ALL Other","Snack a Juice",30/01/2026,"IN-431715","P3851","BESMO GARAGE CC (EFT)","P.O.BOX 4624","TZANEEN","","","109 ANTIMOON STREET","GRAVELOTTE","","","015 318 4462","SJ316","Snack a Juice Cranb 6x2lit",1,253.50,43
"Sasol","Snack a Juice",30/01/2026,"IN-431716","P1374","SASOL AGATHA  7D","P.O. Box 463","","Tzaneen","0850","Agatha Street","","Tzaneen","0850","015 307 7776/4408","SJ200","SJ Ass S/C 24x500ml",1,356.74,18
"ALL Other","Snack a Juice",30/01/2026,"IN-431717","P400","SKOON BEGIN BOERDERY (PTY)TLD","SKOON BEGIN BOERDERY (PTY)TLD","PRETORUIS 147.","THABO MBEKI RYLAAN  MOKOPANE","0600","147 Pretoruis Street","Cnr Geyser Street","Mokopane","0600","015 491  4555","SJ200","SJ Ass S/C 24x500ml",2,713.48,8
"ALL Other","Snack a Juice",30/01/2026,"IN-431718","P2501","PHARMABOND (Pty) LtD t/a MULDOK PHARMACY","(7 D - I)","P.O. Box 100","Mokopane","0600","75 Thabo Mbeki Street","","Mokopane","0601","015 491 3165","SJ200","SJ Ass S/C 24x500ml",1,356.74,8
"ALL Other","Snack a Juice",30/01/2026,"IN-431719","P1185","FRESH AND MORE (PTY)LTD (14 D - I)","P.O. Box 4659","","Mokopane","0600","2 Thabo Mbeki Rd","Shop 3","Mokopane","0600","015 491 4223","SJ206","Snack a Juice Litchi S/C 42% 24x500ml",1,354.24,8
"ALL Other","Snack a Juice",30/01/2026,"IN-431719","P1185","FRESH AND MORE (PTY)LTD (14 D - I)","P.O. Box 4659","","Mokopane","0600","2 Thabo Mbeki Rd","Shop 3","Mokopane","0600","015 491 4223","SJ208","Snack a Juice Cranb S/C 100% 24x500ml",1,354.24,8
